JW32_TP016.npy Masking [7, 5] results in correlation (0.304, 0.799) for AF 7 
JW33_TP085.npy Masking [1, 6, 7] results in correlation (0.625, 0.801) for AF 1 
JW33_TP085.npy Masking [1, 6, 7] results in correlation (0.487, 0.804) for AF 6 
JW33_TP085.npy Masking [4, 5, 7] results in correlation (0.808, 0.676) for AF 5 
JW33_TP036.npy Masking [0, 7] results in correlation (0.757, 0.449) for AF 0 
JW33_TP036.npy Masking [0, 1, 7] results in correlation (0.449, 0.141) for AF 0 
JW33_TP036.npy Masking [0, 2, 7] results in correlation (0.759, 0.470) for AF 0 
JW33_TP036.npy Masking [0, 3, 7] results in correlation (0.733, 0.478) for AF 0 
JW33_TP036.npy Masking [0, 4, 7] results in correlation (0.735, 0.443) for AF 0 
JW33_TP036.npy Masking [0, 5, 7] results in correlation (0.751, 0.561) for AF 0 
JW33_TP036.npy Masking [0, 6, 7] results in correlation (0.716, 0.412) for AF 0 
JW33_TP036.npy Masking [1, 6, 7] results in correlation (0.637, 0.750) for AF 1 
JW33_TP036.npy Masking [1, 6, 7] results in correlation (0.551, 0.843) for AF 6 
JW33_TP036.npy Masking [4, 5, 7] results in correlation (0.796, 0.433) for AF 5 
JW33_TP035.npy Masking [0, 1, 7] results in correlation (0.467, 0.443) for AF 0 
JW33_TP035.npy Masking [6, 1, 7] results in correlation (0.586, 0.850) for AF 6 
JW33_TP002.npy Masking [0, 1] results in correlation (0.674, 0.774) for AF 0 
JW33_TP073.npy Masking [0, 2, 7] results in correlation (0.798, 0.698) for AF 0 
JW33_TP099.npy Masking [0, 2, 7] results in correlation (0.748, 0.531) for AF 0 
JW33_TP042.npy Masking [0, 7] results in correlation (0.708, 0.681) for AF 0 
JW33_TP042.npy Masking [0, 1, 7] results in correlation (0.318, 0.489) for AF 0 
JW33_TP042.npy Masking [0, 2, 7] results in correlation (0.695, 0.714) for AF 0 
JW33_TP042.npy Masking [0, 4, 7] results in correlation (0.726, 0.687) for AF 0 
JW33_TP042.npy Masking [0, 5, 7] results in correlation (0.682, 0.706) for AF 0 
JW33_TP042.npy Masking [0, 6, 7] results in correlation (0.650, 0.667) for AF 0 
JW33_TP042.npy Masking [1, 6, 7] results in correlation (0.661, 0.775) for AF 1 
JW33_TP063.npy Masking [0, 7] results in correlation (0.847, 0.484) for AF 0 
JW33_TP063.npy Masking [0, 1, 7] results in correlation (0.730, 0.251) for AF 0 
JW33_TP063.npy Masking [0, 2, 7] results in correlation (0.802, 0.405) for AF 0 
JW33_TP063.npy Masking [0, 3, 7] results in correlation (0.834, 0.447) for AF 0 
JW33_TP063.npy Masking [0, 4, 7] results in correlation (0.833, 0.532) for AF 0 
JW33_TP063.npy Masking [0, 5, 7] results in correlation (0.843, 0.454) for AF 0 
JW33_TP063.npy Masking [0, 6, 7] results in correlation (0.811, 0.484) for AF 0 
JW33_TP063.npy Masking [1, 6, 7] results in correlation (0.584, 0.825) for AF 6 
JW33_TP063.npy Masking [4, 5, 7] results in correlation (0.938, 0.610) for AF 5 
JW33_TP069.npy Masking [0, 7] results in correlation (0.696, 0.676) for AF 0 
JW33_TP069.npy Masking [0, 1, 7] results in correlation (0.379, 0.355) for AF 0 
JW33_TP069.npy Masking [0, 1, 7] results in correlation (0.611, 0.888) for AF 1 
JW33_TP069.npy Masking [0, 2, 7] results in correlation (0.709, 0.627) for AF 0 
JW33_TP069.npy Masking [0, 3, 7] results in correlation (0.688, 0.662) for AF 0 
JW33_TP069.npy Masking [0, 4, 7] results in correlation (0.695, 0.675) for AF 0 
JW33_TP069.npy Masking [0, 5, 7] results in correlation (0.698, 0.657) for AF 0 
JW33_TP069.npy Masking [0, 6, 7] results in correlation (0.664, 0.638) for AF 0 
JW33_TP069.npy Masking [1, 6, 7] results in correlation (0.426, 0.827) for AF 1 
JW33_TP069.npy Masking [1, 6, 7] results in correlation (0.405, 0.865) for AF 6 
JW33_TP069.npy Masking [4, 5, 7] results in correlation (0.920, 0.625) for AF 5 
JW33_TP086.npy Masking [0, 7] results in correlation (0.682, 0.462) for AF 0 
JW33_TP086.npy Masking [0, 1, 7] results in correlation (0.491, 0.068) for AF 0 
JW33_TP086.npy Masking [0, 2, 7] results in correlation (0.617, 0.389) for AF 0 
JW33_TP086.npy Masking [0, 3, 7] results in correlation (0.653, 0.453) for AF 0 
JW33_TP086.npy Masking [0, 4, 7] results in correlation (0.685, 0.463) for AF 0 
JW33_TP086.npy Masking [0, 5, 7] results in correlation (0.678, 0.514) for AF 0 
JW33_TP086.npy Masking [0, 6, 7] results in correlation (0.670, 0.352) for AF 0 
JW33_TP086.npy Masking [1, 6, 7] results in correlation (0.468, 0.808) for AF 6 
JW33_TP086.npy Masking [4, 5, 7] results in correlation (0.824, 0.584) for AF 5 
JW33_TP084.npy Masking [0, 4, 7] results in correlation (0.802, 0.634) for AF 0 
JW33_TP024.npy Masking [0, 7] results in correlation (0.845, 0.552) for AF 0 
JW33_TP024.npy Masking [0, 1, 7] results in correlation (0.689, 0.476) for AF 0 
JW33_TP024.npy Masking [0, 2, 7] results in correlation (0.851, 0.577) for AF 0 
JW33_TP024.npy Masking [0, 3, 7] results in correlation (0.847, 0.553) for AF 0 
JW33_TP024.npy Masking [0, 4, 7] results in correlation (0.859, 0.531) for AF 0 
JW33_TP024.npy Masking [0, 5, 7] results in correlation (0.851, 0.585) for AF 0 
JW33_TP024.npy Masking [0, 6, 7] results in correlation (0.768, 0.625) for AF 0 
JW33_TP024.npy Masking [1, 6, 7] results in correlation (0.630, 0.862) for AF 6 
JW33_TP025.npy Masking [0, 7] results in correlation (0.841, 0.700) for AF 0 
JW33_TP025.npy Masking [0, 1, 7] results in correlation (0.654, 0.432) for AF 0 
JW33_TP025.npy Masking [0, 2, 7] results in correlation (0.846, 0.655) for AF 0 
JW33_TP025.npy Masking [0, 4, 7] results in correlation (0.835, 0.683) for AF 0 
JW33_TP025.npy Masking [0, 5, 7] results in correlation (0.832, 0.699) for AF 0 
JW33_TP025.npy Masking [0, 6, 7] results in correlation (0.772, 0.661) for AF 0 
JW33_TP025.npy Masking [1, 6, 7] results in correlation (0.643, 0.904) for AF 6 
JW33_TP092.npy Masking [0, 7] results in correlation (0.766, 0.467) for AF 0 
JW33_TP092.npy Masking [0, 1, 7] results in correlation (0.534, 0.374) for AF 0 
JW33_TP092.npy Masking [0, 2, 7] results in correlation (0.742, 0.358) for AF 0 
JW33_TP092.npy Masking [0, 3, 7] results in correlation (0.764, 0.477) for AF 0 
JW33_TP092.npy Masking [0, 4, 7] results in correlation (0.778, 0.469) for AF 0 
JW33_TP092.npy Masking [0, 5, 7] results in correlation (0.746, 0.472) for AF 0 
JW33_TP092.npy Masking [0, 6, 7] results in correlation (0.708, 0.599) for AF 0 
JW33_TP092.npy Masking [1, 6, 7] results in correlation (0.626, 0.659) for AF 1 
JW33_TP092.npy Masking [1, 6, 7] results in correlation (0.527, 0.823) for AF 6 
JW33_TP092.npy Masking [4, 5, 7] results in correlation (0.898, 0.453) for AF 5 
JW33_TP054.npy Masking [0, 7] results in correlation (0.779, 0.676) for AF 0 
JW33_TP054.npy Masking [0, 1, 7] results in correlation (0.541, 0.412) for AF 0 
JW33_TP054.npy Masking [0, 2, 7] results in correlation (0.782, 0.607) for AF 0 
JW33_TP054.npy Masking [0, 3, 7] results in correlation (0.776, 0.680) for AF 0 
JW33_TP054.npy Masking [0, 4, 7] results in correlation (0.797, 0.694) for AF 0 
JW33_TP054.npy Masking [0, 6, 7] results in correlation (0.751, 0.612) for AF 0 
JW33_TP054.npy Masking [1, 6, 7] results in correlation (0.779, 0.618) for AF 1 
JW33_TP054.npy Masking [1, 6, 7] results in correlation (0.666, 0.789) for AF 6 
JW33_TP054.npy Masking [4, 5, 7] results in correlation (0.922, 0.621) for AF 5 
JW33_TP082.npy Masking [0, 2, 7] results in correlation (0.810, 0.578) for AF 0 
JW33_TP102.npy Masking [0, 1, 7] results in correlation (0.483, -0.572) for AF 0 
JW33_TP102.npy Masking [5, 1, 7] results in correlation (0.995, 0.421) for AF 5 
JW33_TP102.npy Masking [6, 1, 7] results in correlation (0.145, 0.626) for AF 6 
JW33_TP096.npy Masking [0, 7] results in correlation (0.790, 0.459) for AF 0 
JW33_TP096.npy Masking [0, 1, 7] results in correlation (0.497, 0.306) for AF 0 
JW33_TP096.npy Masking [0, 2, 7] results in correlation (0.803, 0.475) for AF 0 
JW33_TP096.npy Masking [0, 3, 7] results in correlation (0.788, 0.510) for AF 0 
JW33_TP096.npy Masking [0, 4, 7] results in correlation (0.791, 0.527) for AF 0 
JW33_TP096.npy Masking [0, 5, 7] results in correlation (0.810, 0.555) for AF 0 
JW33_TP096.npy Masking [0, 6, 7] results in correlation (0.793, 0.506) for AF 0 
JW33_TP096.npy Masking [1, 6, 7] results in correlation (0.651, 0.851) for AF 6 
JW33_TP071.npy Masking [0, 7] results in correlation (0.747, 0.655) for AF 0 
JW33_TP071.npy Masking [0, 1, 7] results in correlation (0.209, 0.651) for AF 0 
JW33_TP071.npy Masking [0, 2, 7] results in correlation (0.762, 0.638) for AF 0 
JW33_TP071.npy Masking [0, 3, 7] results in correlation (0.777, 0.697) for AF 0 
JW33_TP071.npy Masking [0, 4, 7] results in correlation (0.767, 0.657) for AF 0 
JW33_TP071.npy Masking [0, 5, 7] results in correlation (0.763, 0.674) for AF 0 
JW33_TP071.npy Masking [0, 6, 7] results in correlation (0.714, 0.659) for AF 0 
JW33_TP071.npy Masking [1, 6, 7] results in correlation (0.662, 0.881) for AF 6 
JW33_TP062.npy Masking [0, 7] results in correlation (0.764, 0.566) for AF 0 
JW33_TP062.npy Masking [0, 1, 7] results in correlation (0.585, 0.236) for AF 0 
JW33_TP062.npy Masking [0, 2, 7] results in correlation (0.758, 0.580) for AF 0 
JW33_TP062.npy Masking [0, 3, 7] results in correlation (0.736, 0.587) for AF 0 
JW33_TP062.npy Masking [0, 4, 7] results in correlation (0.770, 0.579) for AF 0 
JW33_TP062.npy Masking [0, 5, 7] results in correlation (0.770, 0.613) for AF 0 
JW33_TP062.npy Masking [0, 6, 7] results in correlation (0.704, 0.564) for AF 0 
JW33_TP097.npy Masking [0, 1, 7] results in correlation (0.561, 0.689) for AF 0 
JW33_TP097.npy Masking [1, 6, 7] results in correlation (0.665, 0.912) for AF 6 
JW33_TP077.npy Masking [0, 7] results in correlation (0.650, 0.525) for AF 0 
JW33_TP077.npy Masking [0, 1, 7] results in correlation (0.493, 0.403) for AF 0 
JW33_TP077.npy Masking [0, 2, 7] results in correlation (0.657, 0.509) for AF 0 
JW33_TP077.npy Masking [0, 3, 7] results in correlation (0.648, 0.540) for AF 0 
JW33_TP077.npy Masking [0, 4, 7] results in correlation (0.659, 0.549) for AF 0 
JW33_TP077.npy Masking [0, 5, 7] results in correlation (0.645, 0.561) for AF 0 
JW33_TP077.npy Masking [0, 6, 7] results in correlation (0.594, 0.378) for AF 0 
JW33_TP030.npy Masking [0, 7] results in correlation (0.800, 0.475) for AF 0 
JW33_TP030.npy Masking [0, 1, 7] results in correlation (0.587, 0.518) for AF 0 
JW33_TP030.npy Masking [0, 2, 7] results in correlation (0.777, 0.445) for AF 0 
JW33_TP030.npy Masking [0, 3, 7] results in correlation (0.791, 0.441) for AF 0 
JW33_TP030.npy Masking [0, 4, 7] results in correlation (0.795, 0.463) for AF 0 
JW33_TP030.npy Masking [0, 5, 7] results in correlation (0.775, 0.492) for AF 0 
JW33_TP030.npy Masking [0, 6, 7] results in correlation (0.807, 0.486) for AF 0 
JW33_TP030.npy Masking [1, 6, 7] results in correlation (0.521, 0.802) for AF 6 
JW33_TP030.npy Masking [4, 5, 7] results in correlation (0.844, 0.577) for AF 5 
JW33_TP056.npy Masking [0, 1, 7] results in correlation (0.641, 0.537) for AF 0 
JW33_TP056.npy Masking [1, 6, 7] results in correlation (0.666, 0.799) for AF 1 
JW33_TP056.npy Masking [1, 6, 7] results in correlation (0.614, 0.887) for AF 6 
JW33_TP034.npy Masking [0, 1, 7] results in correlation (0.440, 0.698) for AF 0 
JW33_TP034.npy Masking [1, 6, 7] results in correlation (0.657, 0.741) for AF 1 
JW33_TP034.npy Masking [1, 6, 7] results in correlation (0.602, 0.823) for AF 6 
JW33_TP034.npy Masking [4, 5, 7] results in correlation (0.919, 0.632) for AF 5 
JW33_TP079.npy Masking [0, 7] results in correlation (0.765, 0.663) for AF 0 
JW33_TP079.npy Masking [0, 1, 7] results in correlation (0.590, 0.380) for AF 0 
JW33_TP079.npy Masking [0, 2, 7] results in correlation (0.763, 0.649) for AF 0 
JW33_TP079.npy Masking [0, 3, 7] results in correlation (0.757, 0.664) for AF 0 
JW33_TP079.npy Masking [0, 4, 7] results in correlation (0.767, 0.676) for AF 0 
JW33_TP079.npy Masking [0, 5, 7] results in correlation (0.774, 0.669) for AF 0 
JW33_TP079.npy Masking [0, 6, 7] results in correlation (0.708, 0.591) for AF 0 
JW33_TP079.npy Masking [1, 6, 7] results in correlation (0.692, 0.789) for AF 1 
JW33_TP079.npy Masking [1, 6, 7] results in correlation (0.587, 0.844) for AF 6 
JW33_TP079.npy Masking [4, 5, 7] results in correlation (0.893, 0.673) for AF 5 
JW33_TP016_2.npy Masking [0, 1, 7] results in correlation (0.392, 0.419) for AF 0 
JW33_TP016_2.npy Masking [4, 5, 7] results in correlation (0.926, 0.596) for AF 5 
JW33_TP053.npy Masking [0, 2, 7] results in correlation (0.825, 0.491) for AF 0 
JW33_TP029.npy Masking [0, 7] results in correlation (0.901, 0.563) for AF 0 
JW33_TP029.npy Masking [0, 1, 7] results in correlation (0.513, 0.367) for AF 0 
JW33_TP029.npy Masking [0, 2, 7] results in correlation (0.906, 0.547) for AF 0 
JW33_TP029.npy Masking [0, 3, 7] results in correlation (0.904, 0.511) for AF 0 
JW33_TP029.npy Masking [0, 4, 7] results in correlation (0.909, 0.631) for AF 0 
JW33_TP029.npy Masking [0, 5, 7] results in correlation (0.885, 0.589) for AF 0 
JW33_TP029.npy Masking [1, 6, 7] results in correlation (0.609, 0.899) for AF 6 
JW33_TP058.npy Masking [0, 1, 7] results in correlation (0.608, 0.524) for AF 0 
JW33_TP058.npy Masking [0, 6, 7] results in correlation (0.849, 0.620) for AF 0 
JW33_TP058.npy Masking [1, 6, 7] results in correlation (0.602, 0.887) for AF 6 
JW33_TP058.npy Masking [4, 5, 7] results in correlation (0.905, 0.696) for AF 5 
JW33_TP052.npy Masking [0, 2, 7] results in correlation (0.874, 0.589) for AF 0 
JW33_TP019.npy Masking [0, 3] results in correlation (0.715, 0.672) for AF 0 
JW33_TP019.npy Masking [0, 1, 3] results in correlation (0.439, 0.502) for AF 0 
JW33_TP019.npy Masking [0, 2, 3] results in correlation (0.714, 0.667) for AF 0 
JW33_TP019.npy Masking [0, 4, 3] results in correlation (0.714, 0.673) for AF 0 
JW33_TP019.npy Masking [0, 6, 3] results in correlation (0.728, 0.608) for AF 0 
JW33_TP019.npy Masking [0, 7, 3] results in correlation (0.717, 0.670) for AF 0 
JW33_TP019.npy Masking [4, 5, 3] results in correlation (0.913, 0.540) for AF 4 
JW33_TP019.npy Masking [4, 5, 3] results in correlation (0.825, 0.579) for AF 5 
JW33_TP087.npy Masking [0, 7] results in correlation (0.858, 0.390) for AF 0 
JW33_TP087.npy Masking [0, 1, 7] results in correlation (0.713, 0.237) for AF 0 
JW33_TP087.npy Masking [0, 2, 7] results in correlation (0.831, 0.427) for AF 0 
JW33_TP087.npy Masking [0, 3, 7] results in correlation (0.863, 0.392) for AF 0 
JW33_TP087.npy Masking [0, 4, 7] results in correlation (0.868, 0.359) for AF 0 
JW33_TP087.npy Masking [0, 5, 7] results in correlation (0.865, 0.328) for AF 0 
JW33_TP087.npy Masking [0, 6, 7] results in correlation (0.845, 0.409) for AF 0 
JW33_TP022.npy Masking [0, 1, 7] results in correlation (0.771, 0.642) for AF 0 
JW33_TP072.npy Masking [0, 7] results in correlation (0.827, 0.657) for AF 0 
JW33_TP072.npy Masking [0, 1, 7] results in correlation (0.790, 0.516) for AF 0 
JW33_TP072.npy Masking [0, 2, 7] results in correlation (0.815, 0.653) for AF 0 
JW33_TP072.npy Masking [0, 3, 7] results in correlation (0.805, 0.657) for AF 0 
JW33_TP072.npy Masking [0, 5, 7] results in correlation (0.799, 0.670) for AF 0 
JW33_TP072.npy Masking [1, 6, 7] results in correlation (0.639, 0.857) for AF 6 
JW33_TP072.npy Masking [4, 5, 7] results in correlation (0.881, 0.600) for AF 5 
JW33_TP095.npy Masking [0, 2, 7] results in correlation (0.809, 0.652) for AF 0 
JW33_TP001_2.npy Masking [0, 1, 3] results in correlation (0.633, 0.533) for AF 0 
JW33_TP001_2.npy Masking [4, 5, 3] results in correlation (0.966, 0.632) for AF 4 
JW33_TP081.npy Masking [0, 7] results in correlation (0.721, 0.609) for AF 0 
JW33_TP081.npy Masking [0, 1, 7] results in correlation (0.400, 0.460) for AF 0 
JW33_TP081.npy Masking [0, 2, 7] results in correlation (0.728, 0.603) for AF 0 
JW33_TP081.npy Masking [0, 3, 7] results in correlation (0.733, 0.622) for AF 0 
JW33_TP081.npy Masking [0, 4, 7] results in correlation (0.732, 0.604) for AF 0 
JW33_TP081.npy Masking [0, 5, 7] results in correlation (0.714, 0.616) for AF 0 
JW33_TP081.npy Masking [0, 6, 7] results in correlation (0.659, 0.591) for AF 0 
JW33_TP081.npy Masking [1, 6, 7] results in correlation (0.654, 0.836) for AF 6 
JW33_TP081.npy Masking [4, 5, 7] results in correlation (0.769, 0.624) for AF 5 
JW33_TP091.npy Masking [0, 7] results in correlation (0.857, 0.681) for AF 0 
JW33_TP091.npy Masking [0, 1, 7] results in correlation (0.543, 0.394) for AF 0 
JW33_TP091.npy Masking [0, 2, 7] results in correlation (0.855, 0.619) for AF 0 
JW33_TP091.npy Masking [0, 3, 7] results in correlation (0.862, 0.601) for AF 0 
JW33_TP091.npy Masking [0, 4, 7] results in correlation (0.866, 0.684) for AF 0 
JW33_TP091.npy Masking [0, 5, 7] results in correlation (0.855, 0.667) for AF 0 
JW33_TP091.npy Masking [0, 6, 7] results in correlation (0.849, 0.646) for AF 0 
JW33_TP091.npy Masking [1, 6, 7] results in correlation (0.577, 0.880) for AF 6 
JW33_TP091.npy Masking [4, 5, 7] results in correlation (0.916, 0.478) for AF 5 
JW33_TP090.npy Masking [0, 2, 7] results in correlation (0.760, 0.552) for AF 0 
JW33_TP048.npy Masking [0, 7] results in correlation (0.783, 0.505) for AF 0 
JW33_TP048.npy Masking [0, 1, 7] results in correlation (0.554, 0.189) for AF 0 
JW33_TP048.npy Masking [0, 2, 7] results in correlation (0.775, 0.475) for AF 0 
JW33_TP048.npy Masking [0, 3, 7] results in correlation (0.783, 0.511) for AF 0 
JW33_TP048.npy Masking [0, 4, 7] results in correlation (0.791, 0.481) for AF 0 
JW33_TP048.npy Masking [0, 5, 7] results in correlation (0.742, 0.488) for AF 0 
JW33_TP048.npy Masking [0, 6, 7] results in correlation (0.776, 0.453) for AF 0 
JW33_TP048.npy Masking [1, 6, 7] results in correlation (0.630, 0.781) for AF 1 
JW33_TP048.npy Masking [1, 6, 7] results in correlation (0.638, 0.784) for AF 6 
JW33_TP068.npy Masking [0, 7] results in correlation (0.730, 0.462) for AF 0 
JW33_TP068.npy Masking [0, 1, 7] results in correlation (0.471, 0.233) for AF 0 
JW33_TP068.npy Masking [0, 2, 7] results in correlation (0.736, 0.457) for AF 0 
JW33_TP068.npy Masking [0, 3, 7] results in correlation (0.721, 0.487) for AF 0 
JW33_TP068.npy Masking [0, 4, 7] results in correlation (0.746, 0.461) for AF 0 
JW33_TP068.npy Masking [0, 5, 7] results in correlation (0.747, 0.504) for AF 0 
JW33_TP068.npy Masking [0, 6, 7] results in correlation (0.696, 0.419) for AF 0 
JW33_TP068.npy Masking [1, 6, 7] results in correlation (0.583, 0.814) for AF 6 
JW33_TP061.npy Masking [0, 1, 7] results in correlation (0.616, 0.491) for AF 0 
JW33_TP061.npy Masking [1, 6, 7] results in correlation (0.643, 0.828) for AF 6 
JW33_TP061.npy Masking [4, 5, 7] results in correlation (0.944, 0.460) for AF 5 
JW33_TP057.npy Masking [0, 7] results in correlation (0.766, 0.680) for AF 0 
JW33_TP057.npy Masking [0, 1, 7] results in correlation (0.359, 0.381) for AF 0 
JW33_TP057.npy Masking [0, 2, 7] results in correlation (0.778, 0.645) for AF 0 
JW33_TP057.npy Masking [0, 3, 7] results in correlation (0.775, 0.670) for AF 0 
JW33_TP057.npy Masking [0, 4, 7] results in correlation (0.758, 0.687) for AF 0 
JW33_TP057.npy Masking [0, 5, 7] results in correlation (0.762, 0.660) for AF 0 
JW33_TP057.npy Masking [0, 6, 7] results in correlation (0.752, 0.660) for AF 0 
JW33_TP057.npy Masking [1, 6, 7] results in correlation (0.550, 0.865) for AF 6 
JW33_TP004.npy Masking [0, 1, 6] results in correlation (0.588, 0.605) for AF 0 
JW33_TP066.npy Masking [0, 7] results in correlation (0.914, 0.542) for AF 0 
JW33_TP066.npy Masking [0, 1, 7] results in correlation (0.700, 0.278) for AF 0 
JW33_TP066.npy Masking [0, 2, 7] results in correlation (0.897, 0.541) for AF 0 
JW33_TP066.npy Masking [0, 3, 7] results in correlation (0.910, 0.584) for AF 0 
JW33_TP066.npy Masking [0, 4, 7] results in correlation (0.925, 0.551) for AF 0 
JW33_TP066.npy Masking [0, 5, 7] results in correlation (0.917, 0.541) for AF 0 
JW33_TP066.npy Masking [0, 6, 7] results in correlation (0.883, 0.549) for AF 0 
JW33_TP001.npy Masking [0, 2] results in correlation (0.831, 0.662) for AF 0 
JW33_TP001.npy Masking [0, 1, 2] results in correlation (0.369, 0.334) for AF 0 
JW33_TP001.npy Masking [0, 3, 2] results in correlation (0.845, 0.602) for AF 0 
JW33_TP001.npy Masking [0, 4, 2] results in correlation (0.832, 0.656) for AF 0 
JW33_TP001.npy Masking [0, 5, 2] results in correlation (0.851, 0.652) for AF 0 
JW33_TP001.npy Masking [0, 6, 2] results in correlation (0.812, 0.698) for AF 0 
JW33_TP001.npy Masking [0, 7, 2] results in correlation (0.878, 0.609) for AF 0 
JW33_TP001.npy Masking [4, 5, 2] results in correlation (0.887, 0.698) for AF 5 
JW60_TP069.npy Masking [0, 7] results in correlation (0.812, 0.656) for AF 0 
JW60_TP069.npy Masking [1, 7] results in correlation (0.769, 0.678) for AF 1 
JW60_TP069.npy Masking [0, 1, 7] results in correlation (0.371, 0.636) for AF 0 
JW60_TP069.npy Masking [0, 1, 7] results in correlation (0.587, 0.664) for AF 1 
JW60_TP069.npy Masking [0, 2, 7] results in correlation (0.813, 0.654) for AF 0 
JW60_TP069.npy Masking [0, 3, 7] results in correlation (0.821, 0.674) for AF 0 
JW60_TP069.npy Masking [0, 4, 7] results in correlation (0.830, 0.665) for AF 0 
JW60_TP069.npy Masking [0, 5, 7] results in correlation (0.820, 0.638) for AF 0 
JW60_TP069.npy Masking [0, 6, 7] results in correlation (0.678, 0.656) for AF 0 
JW60_TP069.npy Masking [1, 2, 7] results in correlation (0.793, 0.670) for AF 1 
JW60_TP069.npy Masking [1, 3, 7] results in correlation (0.796, 0.676) for AF 1 
JW60_TP069.npy Masking [1, 4, 7] results in correlation (0.786, 0.684) for AF 1 
JW60_TP069.npy Masking [1, 5, 7] results in correlation (0.778, 0.666) for AF 1 
JW60_TP069.npy Masking [1, 6, 7] results in correlation (0.477, 0.559) for AF 1 
JW60_TP069.npy Masking [1, 6, 7] results in correlation (0.622, 0.862) for AF 6 
JW60_TP095.npy Masking [0, 7] results in correlation (0.876, 0.550) for AF 0 
JW60_TP095.npy Masking [0, 1, 7] results in correlation (0.387, 0.317) for AF 0 
JW60_TP095.npy Masking [0, 1, 7] results in correlation (0.631, 0.803) for AF 1 
JW60_TP095.npy Masking [0, 2, 7] results in correlation (0.852, 0.534) for AF 0 
JW60_TP095.npy Masking [0, 3, 7] results in correlation (0.857, 0.601) for AF 0 
JW60_TP095.npy Masking [0, 4, 7] results in correlation (0.866, 0.599) for AF 0 
JW60_TP095.npy Masking [0, 5, 7] results in correlation (0.889, 0.599) for AF 0 
JW60_TP095.npy Masking [0, 6, 7] results in correlation (0.779, 0.556) for AF 0 
JW60_TP095.npy Masking [0, 6, 7] results in correlation (0.689, 0.941) for AF 6 
JW60_TP095.npy Masking [1, 6, 7] results in correlation (0.618, 0.921) for AF 6 
JW60_TP053.npy Masking [0, 7] results in correlation (0.780, 0.583) for AF 0 
JW60_TP053.npy Masking [0, 1, 7] results in correlation (0.416, 0.266) for AF 0 
JW60_TP053.npy Masking [0, 1, 7] results in correlation (0.652, 0.705) for AF 1 
JW60_TP053.npy Masking [0, 2, 7] results in correlation (0.781, 0.576) for AF 0 
JW60_TP053.npy Masking [0, 3, 7] results in correlation (0.790, 0.579) for AF 0 
JW60_TP053.npy Masking [0, 4, 7] results in correlation (0.780, 0.576) for AF 0 
JW60_TP053.npy Masking [0, 5, 7] results in correlation (0.787, 0.611) for AF 0 
JW60_TP053.npy Masking [0, 6, 7] results in correlation (0.641, 0.582) for AF 0 
JW60_TP053.npy Masking [1, 6, 7] results in correlation (0.600, 0.596) for AF 1 
JW60_TP053.npy Masking [1, 6, 7] results in correlation (0.665, 0.814) for AF 6 
JW60_TP024.npy Masking [0, 6, 7] results in correlation (0.749, 0.463) for AF 0 
JW60_TP067.npy Masking [0, 7] results in correlation (0.811, 0.573) for AF 0 
JW60_TP067.npy Masking [0, 1, 7] results in correlation (0.461, 0.341) for AF 0 
JW60_TP067.npy Masking [0, 1, 7] results in correlation (0.556, 0.714) for AF 1 
JW60_TP067.npy Masking [0, 2, 7] results in correlation (0.796, 0.528) for AF 0 
JW60_TP067.npy Masking [0, 3, 7] results in correlation (0.794, 0.598) for AF 0 
JW60_TP067.npy Masking [0, 4, 7] results in correlation (0.823, 0.582) for AF 0 
JW60_TP067.npy Masking [0, 5, 7] results in correlation (0.809, 0.570) for AF 0 
JW60_TP067.npy Masking [0, 6, 7] results in correlation (0.708, 0.535) for AF 0 
JW60_TP067.npy Masking [0, 6, 7] results in correlation (0.682, 0.867) for AF 6 
JW60_TP067.npy Masking [1, 6, 7] results in correlation (0.690, 0.685) for AF 1 
JW60_TP079.npy Masking [0, 6, 7] results in correlation (0.658, 0.457) for AF 0 
JW60_TP079.npy Masking [1, 6, 7] results in correlation (0.694, 0.672) for AF 1 
JW60_TP034.npy Masking [0, 7] results in correlation (0.799, 0.590) for AF 0 
JW60_TP034.npy Masking [1, 7] results in correlation (0.851, 0.657) for AF 1 
JW60_TP034.npy Masking [0, 1, 7] results in correlation (0.463, 0.403) for AF 0 
JW60_TP034.npy Masking [0, 1, 7] results in correlation (0.786, 0.598) for AF 1 
JW60_TP034.npy Masking [0, 2, 7] results in correlation (0.817, 0.549) for AF 0 
JW60_TP034.npy Masking [0, 3, 7] results in correlation (0.831, 0.591) for AF 0 
JW60_TP034.npy Masking [0, 4, 7] results in correlation (0.820, 0.638) for AF 0 
JW60_TP034.npy Masking [0, 5, 7] results in correlation (0.792, 0.574) for AF 0 
JW60_TP034.npy Masking [0, 6, 7] results in correlation (0.591, 0.452) for AF 0 
JW60_TP034.npy Masking [1, 2, 7] results in correlation (0.852, 0.625) for AF 1 
JW60_TP034.npy Masking [1, 3, 7] results in correlation (0.861, 0.660) for AF 1 
JW60_TP034.npy Masking [1, 5, 7] results in correlation (0.855, 0.670) for AF 1 
JW60_TP034.npy Masking [1, 6, 7] results in correlation (0.546, 0.399) for AF 1 
JW60_TP034.npy Masking [1, 6, 7] results in correlation (0.667, 0.783) for AF 6 
JW60_TP038.npy Masking [0, 7] results in correlation (0.741, 0.422) for AF 0 
JW60_TP038.npy Masking [1, 7] results in correlation (0.800, 0.570) for AF 1 
