JW32_TP016.npy Masking [7, 5] results in correlation (0.304, 0.799) for AF 7 
JW32_TP004_2.npy Masking [7, 4] results in correlation (0.013, 0.568) for AF 7 
JW32_TP004_2.npy Masking [0, 1, 4] results in correlation (0.031, 0.309) for AF 0 
JW32_TP004_2.npy Masking [0, 1, 4] results in correlation (0.717, 0.682) for AF 1 
JW32_TP004_2.npy Masking [0, 2, 4] results in correlation (0.832, 0.671) for AF 0 
JW32_TP004_2.npy Masking [0, 3, 4] results in correlation (0.808, 0.610) for AF 0 
JW32_TP004_2.npy Masking [0, 3, 4] results in correlation (0.925, 0.688) for AF 3 
JW32_TP004_2.npy Masking [0, 5, 4] results in correlation (0.670, 0.635) for AF 0 
JW32_TP004_2.npy Masking [0, 5, 4] results in correlation (0.700, 0.078) for AF 5 
JW32_TP004_2.npy Masking [0, 6, 4] results in correlation (0.700, 0.697) for AF 0 
JW32_TP004_2.npy Masking [0, 7, 4] results in correlation (-0.296, 0.495) for AF 7 
JW32_TP004_2.npy Masking [1, 3, 4] results in correlation (0.912, 0.646) for AF 3 
JW32_TP004_2.npy Masking [1, 5, 4] results in correlation (0.706, -0.003) for AF 5 
JW32_TP004_2.npy Masking [1, 6, 4] results in correlation (0.588, 0.808) for AF 1 
JW32_TP004_2.npy Masking [1, 6, 4] results in correlation (0.645, 0.965) for AF 6 
JW32_TP004_2.npy Masking [1, 7, 4] results in correlation (0.242, 0.538) for AF 7 
JW32_TP004_2.npy Masking [2, 3, 4] results in correlation (0.418, 0.689) for AF 2 
JW32_TP004_2.npy Masking [2, 3, 4] results in correlation (0.634, 0.449) for AF 3 
JW32_TP004_2.npy Masking [2, 5, 4] results in correlation (0.704, -0.106) for AF 5 
JW32_TP004_2.npy Masking [2, 7, 4] results in correlation (-0.107, 0.509) for AF 7 
JW32_TP004_2.npy Masking [3, 5, 4] results in correlation (0.841, 0.695) for AF 3 
JW32_TP004_2.npy Masking [3, 5, 4] results in correlation (0.531, 0.089) for AF 5 
JW32_TP004_2.npy Masking [3, 6, 4] results in correlation (0.935, 0.645) for AF 3 
JW32_TP004_2.npy Masking [3, 7, 4] results in correlation (-0.061, 0.489) for AF 7 
JW32_TP004_2.npy Masking [5, 6, 4] results in correlation (0.649, -0.108) for AF 5 
JW32_TP004_2.npy Masking [5, 7, 4] results in correlation (0.720, 0.121) for AF 5 
JW32_TP004_2.npy Masking [5, 7, 4] results in correlation (0.366, 0.668) for AF 7 
JW32_TP004_2.npy Masking [6, 7, 4] results in correlation (0.368, 0.550) for AF 7 
JW32_TP006.npy Masking [7] results in correlation (-0.005, 0.760) for AF 7 
JW32_TP006.npy Masking [0, 1] results in correlation (0.319, 0.428) for AF 0 
JW32_TP006.npy Masking [0, 1] results in correlation (0.650, 0.893) for AF 1 
JW32_TP006.npy Masking [0, 7] results in correlation (-0.329, 0.715) for AF 7 
JW32_TP006.npy Masking [1, 7] results in correlation (0.167, 0.625) for AF 7 
JW32_TP006.npy Masking [2, 3] results in correlation (0.845, 0.078) for AF 2 
JW32_TP006.npy Masking [2, 7] results in correlation (0.047, 0.689) for AF 7 
JW32_TP006.npy Masking [3, 4] results in correlation (0.958, 0.478) for AF 3 
JW32_TP006.npy Masking [3, 7] results in correlation (0.118, 0.738) for AF 7 
JW32_TP006.npy Masking [4, 5] results in correlation (0.773, 0.176) for AF 5 
JW32_TP006.npy Masking [4, 7] results in correlation (0.132, 0.574) for AF 7 
JW32_TP006.npy Masking [5, 7] results in correlation (0.062, 0.722) for AF 7 
JW32_TP006.npy Masking [6, 7] results in correlation (0.625, 0.839) for AF 6 
JW32_TP006.npy Masking [6, 7] results in correlation (-0.168, 0.706) for AF 7 
JW32_TP006.npy Masking [0, 1, 2] results in correlation (0.372, 0.436) for AF 0 
JW32_TP006.npy Masking [0, 1, 2] results in correlation (0.511, 0.828) for AF 1 
JW32_TP006.npy Masking [0, 1, 3] results in correlation (0.412, 0.288) for AF 0 
JW32_TP006.npy Masking [0, 1, 3] results in correlation (0.585, 0.857) for AF 1 
JW32_TP006.npy Masking [0, 1, 4] results in correlation (0.156, 0.310) for AF 0 
JW32_TP006.npy Masking [0, 1, 4] results in correlation (0.652, 0.848) for AF 1 
JW32_TP006.npy Masking [0, 1, 5] results in correlation (0.193, 0.358) for AF 0 
JW32_TP006.npy Masking [0, 1, 5] results in correlation (0.583, 0.890) for AF 1 
JW32_TP006.npy Masking [0, 1, 6] results in correlation (0.208, 0.352) for AF 0 
JW32_TP006.npy Masking [0, 1, 6] results in correlation (0.543, 0.859) for AF 1 
JW32_TP006.npy Masking [0, 1, 6] results in correlation (0.620, 0.974) for AF 6 
JW32_TP006.npy Masking [0, 1, 7] results in correlation (0.235, 0.020) for AF 0 
JW32_TP006.npy Masking [0, 1, 7] results in correlation (0.440, 0.858) for AF 1 
JW32_TP006.npy Masking [0, 1, 7] results in correlation (-0.182, 0.690) for AF 7 
JW32_TP006.npy Masking [0, 2, 3] results in correlation (0.757, 0.139) for AF 2 
